parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2900187,USA,35620,,"New York-Newark-Jersey City, Ny-Nj-Pa",,,CBSA,19908595,93610,0,1,1,1
2900078,USA,31080,,"Los Angeles-Long Beach-Anaheim, Ca",,,CBSA,13111917,89105,0,1,1,1
2899845,USA,16980,,"Chicago-Naperville-Elgin, Il-In-Wi",,,CBSA,9566955,85087,0,1,1,1
2899734,USA,19100,,"Dallas-Fort Worth-Arlington, Tx",,,CBSA,7673379,83398,0,1,0,1
2899967,USA,26420,,"Houston-The Woodlands-Sugar Land, Tx",,,CBSA,7142603,78061,0,1,0,0
2900475,USA,47900,,"Washington-Arlington-Alexandria, Dc-Va-Md-Wv",,,CBSA,6346083,119803,0,1,1,1
2900244,USA,37980,,"Philadelphia-Camden-Wilmington, Pa-Nj-De-Md",,,CBSA,6232894,85555,0,1,0,0
2900128,USA,33100,,"Miami-Fort Lauderdale-Pompano Beach, Fl",,,CBSA,6123949,69085,0,1,1,1
2887280,USA,12060,,"Atlanta-Sandy Springs-Alpharetta, Ga",,,CBSA,6094752,82625,0,1,0,1
2899625,USA,14460,,"Boston-Cambridge-Newton, Ma-Nh",,,CBSA,4912449,107117,0,1,1,1
2900245,USA,38060,,"Phoenix-Mesa-Chandler, Az",,,CBSA,4864209,79935,0,1,0,1
2900336,USA,41860,,"San Francisco-Oakland-Berkeley, Ca",,,CBSA,4692242,129315,0,1,1,1
2900295,USA,40140,,"Riverside-San Bernardino-Ontario, Ca",,,CBSA,4610050,81041,0,0,0,0
2899753,USA,19820,,"Detroit-Warren-Dearborn, Mi",,,CBSA,4375604,72456,0,1,0,1
2900353,USA,42660,,"Seattle-Tacoma-Bellevue, Wa",,,CBSA,4001701,107206,0,1,0,1
2900137,USA,33460,,"Minneapolis-St. Paul-Bloomington, Mn-Wi",,,CBSA,3678328,94673,0,1,0,1
2900332,USA,41740,,"San Diego-Chula Vista-Carlsbad, Ca",,,CBSA,3289701,96974,0,1,1,1
2900417,USA,45300,,"Tampa-St. Petersburg-Clearwater, Fl",,,CBSA,3194310,67197,0,1,0,1
2899750,USA,19740,,"Denver-Aurora-Lakewood, Co",,,CBSA,2959386,96920,0,1,1,1
2887292,USA,12580,,"Baltimore-Columbia-Towson, Md",,,CBSA,2840005,94167,0,0,0,0
2900321,USA,41180,,"St. Louis, Mo-Il",,,CBSA,2813523,75316,0,0,0,0
